ID;Name;Identifier
1;Benita Otte;https://www.wikidata.org/wiki/Q817333
2;Ernst Gebhardt;https://www.wikidata.org/wiki/Q131523713
3;Theodor Bogler;https://www.wikidata.org/wiki/Q2417367
4;Erich Dieckmann;https://www.wikidata.org/wiki/Q9254552
5;Alma Buscher;https://www.wikidata.org/wiki/Q2649575
6;Erich Brendel;https://www.wikidata.org/wiki/Q94837604
7;László Moholy-Nagy;https://www.wikidata.org/wiki/Q160448
8;Marcel Breuer;https://www.wikidata.org/wiki/Q57588
9;Agnes Roghé;https://www.wikidata.org/wiki/Q68917859
10;Lis Deinhardt;https://www.wikidata.org/wiki/Q68772017
11;Carl Jakob Jucker;https://www.wikidata.org/wiki/Q21124269
12;Gunta Stölzl;https://www.wikidata.org/wiki/Q73085
13;Martha Erps;https://www.wikidata.org/wiki/Q55020487
14;Gyula Pap;https://www.wikidata.org/wiki/Q1229332


