ID;Name;Standort;Breitengrad;Längengrad;URL
1;Triton Werke Hamburg;Hamburg;53543;9998;https://www.wikidata.org/wiki/Q107017368
2;Junkers & Co. Dessau;Dessau;51.83066;12.24306;https://www.wikidata.org/wiki/Q1713670
3;Imperial Bünde Westf.;Bünde;52.2031;8.5814;https://www.wikidata.org/wiki/Q1660275
4;Dt. Spiegelglas A. G.;Freden (Leine);51.92825;9.89697;https://www.wikidata.org/wiki/Q42302014
5;Staatliches Bauhaus Weimar;Weimar;50.9778;11.3297;https://www.wikidata.org/wiki/Q124354
6;Steingutfabrik Velten-Vordamm;Velten-Vordamm;52.68812;13.17793;https://www.wikidata.org/wiki/Q48755937
7;Schott & Gen. Glaswerke Jena;Jena;50.9279;11.5889;https://www.wikidata.org/wiki/Q565558
9;Berlin-Burger Eisenwerk;Berlin;52.5087;13.4047;Unbekannt
10;C. Arnoldi Hamburg;Hamburg;53.544;10.014;Unbekannt
11;Verein dt. Spiegelglasfabriken GmbH Köln;Köln;50.9379;6.9633;Unbekannt
12;Hoftischlerei G. & H. Schütze Berlin;Berlin;52.5137;13.4033;Unbekannt
13;J. A. John Erfurt;Erfurt;50.9762;11.0330;Unbekannt
14;Johannes Haag Berlin-Weimar;Weimar;50.9778;11.3297;Unbekannt
